address,Trading Volume Leaderboard,Trading volume Raffle,P$L Leaderboard,Realized profit,tokenAmount,tokenName
0xedceefbfe67920075dd896d6a1db396ca5b6e2e1,800 ,0,0,0,800 ,ENA
0xdc58ccbce673f35b0e1ff49032aaefe637337e97,800 ,0,0,0,800 ,ENA
0x834ac01e3e4c423cd6a400e166eeed37d254e984,800 ,0,0,0,800 ,ENA
0xdafa4f49b047b80bcd33b8db3e2904a0dffbe036,800 ,0,0,0,800 ,ENA
0xde39de484c3ad59176937d806e604f72657000ad,800 ,0,0,0,800 ,ENA
0x9511feacf55d2ceb19dc07525f1332eb6a583ca4,800 ,0,0,0,800 ,ENA
0xb1acc6aa8e11082cd75d743a9e66594e5b286c43,800 ,0,0,0,800 ,ENA
0x44cf9b8388b04725d3b0baa81604c34cf1edd13f,800 ,0,0,0,800 ,ENA
0x266002d1ad14da470fa148a18842ffd043f49ae6,800 ,0,0,0,800 ,ENA
0x6a5e008738c2c7fbd8e5d525e9b476f6bbf03890,800 ,0,0,0,800 ,ENA
0xaafc516a018f9544b5af81121401f01d24a31592,800 ,0,0,0,800 ,ENA
0xf0a3adc940098c24f6f92d3af7492ad2eff1f79d,800 ,0,0,0,800 ,ENA
0x5d26fe301be9b11e132d7d9083910a71694541bf,800 ,0,0,0,800 ,ENA
0x08dd44183f47d3c57d9c01fcc6b2ee80389e961e,800 ,0,0,0,800 ,ENA
0xec8646ded4fa2e204cc4436a53490a933a1de948,800 ,0,0,0,800 ,ENA
0xfcd623097759762bf5c214385a461dda65c40912,800 ,0,0,0,800 ,ENA
0xfe59e18ab426efcfac78bd5094846d1bc361ee76,800 ,0,0,0,800 ,ENA
0x382ae9d0c3404da61ecae7585250d20f8c36d319,800 ,0,0,0,800 ,ENA
0x2e996a60c8a30cb4647ae085af6f7d41da8fb499,800 ,0,0,0,800 ,ENA
0xc092a3817785ae84f87e98542c561fbfe3ac13ac,800 ,0,0,0,800 ,ENA
0x5a1201d47e4b81bc91192baca8e2cb99ce40ac99,800 ,0,0,0,800 ,ENA
0x1eab88ef1d8e22f99155457563b0d2fc95c70613,800 ,0,0,0,800 ,ENA
0x76a5b1189144d33807f776c4cb95c3b2824a8b06,800 ,0,0,0,800 ,ENA
0x63ec3f4197d8e084efaccabd8edb3b72167fabd2,800 ,0,0,0,800 ,ENA
0x5061b5c1626509291e7252effe47f4e4c4e6f854,800 ,0,0,0,800 ,ENA
0xa4efa1540786ebafa19ce0ccf3d4e665148877e6,800 ,0,0,0,800 ,ENA
0xd23ba983283f4421303894de301950882dca7229,800 ,0,0,0,800 ,ENA
0x3062ad4073c780a3c334819d7765d5190e38a064,800 ,0,0,0,800 ,ENA
0xb9bc0fcb939b3f376ac407c8cecb5f4cde7251e1,800 ,0,0,0,800 ,ENA
0x22139042c5a688f814e75780d81649b7f0a1939a,800 ,0,0,0,800 ,ENA
0x8422d95af4553fac4f8fe1c62f2b1b1913ac6e4e,800 ,0,0,0,800 ,ENA
0xc339e5d83f99a4617ada60674ade566a4cf41bae,800 ,0,0,0,800 ,ENA
0x0e37986b191b01bfc4139aae4a8332c9b35ee160,800 ,0,0,0,800 ,ENA
0x36985d02af849b52c78e403784a65450f21139bf,800 ,0,0,0,800 ,ENA
0x4a1dd1efcabe1e2eee0d4fd88a1fd27063db5da5,800 ,0,0,0,800 ,ENA
0x321bb3e6de2aec4911df9fbde1598c24bcfbae0b,800 ,0,0,0,800 ,ENA
0xefd0594b0aa932d953af5ee713551484cb94abb7,800 ,0,0,0,800 ,ENA
0x0f45a35e3899aff955f549e3fa4ce00b016d0cf4,800 ,0,0,0,800 ,ENA
0xe32f247db8f667f907d4d4f8ed803c01e42246f1,800 ,0,0,0,800 ,ENA
0xaa91aaf2ff44ba21a62370d1e9174dad3f2fe407,800 ,0,0,0,800 ,ENA
0x4f8dc74d3699bfc2ba94f0017ebb250aca6c3dce,800 ,0,0,0,800 ,ENA
0x9d546f4024ef4054c802bee384254901387bb644,800 ,0,0,0,800 ,ENA
0xb4029455f185d8ffc35a898e64d65d583b1b9723,800 ,0,0,0,800 ,ENA
0xc54d8c010795a2aa4f46df23ee475e138b1fe0fd,800 ,0,0,0,800 ,ENA
0xcd045b8cf965e5e5f6efd87d2c52fe1a5f1d5316,800 ,0,0,0,800 ,ENA
0xd8dbce31720b7898a1f4b221edcd28cdcbdfb298,800 ,0,0,0,800 ,ENA
0x1e2db6803ba85df71625d3bde4c6bf65e8f3d4c8,800 ,0,0,0,800 ,ENA
0x3e486ec07a997d51c78d74c76d6f4b74ec1c2018,800 ,0,0,0,800 ,ENA
0xd6071f8d860647559b15467f845a215bee71ba94,800 ,0,0,0,800 ,ENA
0x364a92fc45ff29f44150532beb01069baa210826,800 ,0,0,0,800 ,ENA
